Hotel_ID,index,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
137,568,Barrancabermeja,CO,72.97,broken clouds,7.0653,-73.8547,Hotel Casa Bellagio
138,569,Ixtapa,MX,79.23,few clouds,20.7,-105.2,Ixtapa
139,570,Galesong,ID,78.82,light rain,-5.3166,119.3661,Sapriadi Appy
140,572,Grand-Santi,GF,71.83,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
141,574,Acandi,CO,76.39,overcast clouds,8.5063,-77.2778,Hotel Patio Bonito
142,581,Pochutla,MX,74.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
143,582,Mindelo,CV,76.55,scattered clouds,16.8901,-24.9804,Hotel Gaudi
145,591,Andilamena,MG,74.48,clear sky,-17.0167,48.5833,Police men home Andilamina
146,597,Hasaki,JP,71.22,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
148,599,Popondetta,PG,77.58,overcast clouds,-8.7537,148.2534,Timos Transit House
149,604,Santarem,BR,73.53,clear sky,-2.4431,-54.7083,Ecotur Lodge
150,612,Neiafu,TO,76.6,clear sky,-18.65,-173.9833,Flying Annie Moa
151,618,Alofi,NU,75.09,broken clouds,-19.0595,-169.9187,Taloa Heights
152,623,Acajutla,SV,78.13,overcast clouds,13.5928,-89.8275,CASA DE LA PERRA
153,624,Carutapera,BR,78.28,broken clouds,-1.195,-46.02,Lidera
154,627,Naftalan,AZ,71.02,clear sky,40.5067,46.825,Park Naftalan Hotel
155,628,Honiara,SB,79.56,overcast clouds,-9.4333,159.95,Heritage Park Hotel
157,642,Santiago De Cuba,CU,73.0,broken clouds,20.0247,-75.8219,Cubanacan San Felix
158,650,Auki,SB,79.0,overcast clouds,-8.7676,160.7034,Auki Motel
159,652,Sao Miguel Do Araguaia,BR,77.79,broken clouds,-13.275,-50.1628,Hotel Veredas do Araguaia
160,653,Porangatu,BR,79.27,broken clouds,-13.4408,-49.1486,Wembley Park Hotel
162,666,Yichang,CN,74.57,few clouds,30.7144,111.2847,Gezhouba Hotel
